ssrcss-gfjuy9-Timestamp,visually-hidden,ssrcss-yjj6jm-LinkPostHeadline,ssrcss-61mhsj-MetadataText
06:06 9 July,"Blind man prepares for mountain climbing challenge, published at 06:06 9 July",Blind man prepares for mountain climbing challenge,Devon
12:39 8 July,"Jersey disability charity celebrates 50th birthday, published at 12:39 8 July",Jersey disability charity celebrates 50th birthday,Jersey
06:16 8 July,"Council insolvent due to SEND debt, leader says, published at 06:16 8 July","Council insolvent due to SEND debt, leader says",Dorset
06:09 8 July,"Wheelchair rugby coach takes on Marvel challenge, published at 06:09 8 July",Wheelchair rugby coach takes on Marvel challenge,Berkshire
21:05 7 July,"Pilot scheme hopes to improve Send provision, published at 21:05 7 July",Pilot scheme hopes to improve Send provision,Devon
14:53 7 July,"Blind, fundraising golfer refuses to be bunkered, published at 14:53 7 July","Blind, fundraising golfer refuses to be bunkered",Coventry & Warwickshire
09:00 7 July,"Sign language boards for city's playgrounds, published at 09:00 7 July",Sign language boards for city's playgrounds,West Yorkshire
06:52 7 July,"Fighting for Send children 'an emotional disaster' , published at 06:52 7 July",Fighting for Send children 'an emotional disaster',Suffolk
06:17 7 July,"Accessible path enables students to explore nature, published at 06:17 7 July",Accessible path enables students to explore nature,Gloucestershire
06:11 7 July,"'I ignored school advice and became a Paralympian', published at 06:11 7 July",'I ignored school advice and became a Paralympian',Manchester
18:57 6 July,"Charity marks 60 years teaching disabled riders, published at 18:57 6 July",Charity marks 60 years teaching disabled riders,Gloucestershire
07:15 6 July,"People with learning disabilities meet 999 crews, published at 07:15 6 July",People with learning disabilities meet 999 crews,Cornwall
17:20 5 July,"Wait times for SEN children remain high in county, published at 17:20 5 July",Wait times for SEN children remain high in county,Hereford & Worcester
12:59 4 July,"Terminally ill sailor plans next challenge , published at 12:59 4 July",Terminally ill sailor plans next challenge,England
15:44 3 July,"Sight loss charity chair in bus pass challenge, published at 15:44 3 July",Sight loss charity chair in bus pass challenge,Wiltshire
13:44 3 July,"Lack of support for man with learning disability, published at 13:44 3 July",Lack of support for man with learning disability,England
06:21 3 July,"'My assistance dog helps me be part of life', published at 06:21 3 July",'My assistance dog helps me be part of life',Derbyshire
06:08 3 July,"Paralympic rower thought she would never be loved, published at 06:08 3 July",Paralympic rower thought she would never be loved,Hereford & Worcester
06:03 3 July,"Disability basketball team appeals for new players, published at 06:03 3 July",Disability basketball team appeals for new players,Hull & East Yorkshire
16:09 2 July,"'Anxious' wait for government welfare cuts vote, published at 16:09 2 July",'Anxious' wait for government welfare cuts vote,Hereford & Worcester
06:22 2 July,"Deaf swimmer fundraising to go to Tokyo games. Video, 00:01:05, published at 06:22 2 July",Deaf swimmer fundraising to go to Tokyo games,Coventry & Warwickshire
06:11 2 July,"Mum despairs over lack of school for autistic son, published at 06:11 2 July",Mum despairs over lack of school for autistic son,Dorset
06:09 2 July,"Vulnerable patients told secure ward to close within weeks, published at 06:09 2 July",Vulnerable patients told secure ward to close within weeks,Glasgow & West Scotland
19:58 1 July,"Government benefits plan 'keeps me up at night', published at 19:58 1 July",Government benefits plan 'keeps me up at night',Northern Ireland
17:44 1 July,"Demonstration held against welfare cut plans, published at 17:44 1 July",Demonstration held against welfare cut plans,Devon
15:57 1 July,"Pip payments are a godsend, says single parent, published at 15:57 1 July","Pip payments are a godsend, says single parent",England
13:56 1 July,"Starmer faces Labour revolt despite welfare climbdown, published at 13:56 1 July",Starmer faces Labour revolt despite welfare climbdown,20
13:22 1 July,"Welfare cuts are dangerous, campaigner says, published at 13:22 1 July","Welfare cuts are dangerous, campaigner says",Northamptonshire
11:15 1 July,"Amnesty for fake parking permits and blue badges, published at 11:15 1 July",Amnesty for fake parking permits and blue badges,Sussex
06:21 1 July,"SEND school unveils major expansion plans, published at 06:21 1 July",SEND school unveils major expansion plans,Nottinghamshire
00:04 1 July,"Is RFK Jr's divisive plan to Make America Healthy Again fearmongering - or revolutionary?, published at 00:04 1 July",Is RFK Jr's divisive plan to Make America Healthy Again fearmongering - or revolutionary?,BBC InDepth
17:22 30 June,"Terminally ill sailor completes 2,000 mile voyage, published at 17:22 30 June","Terminally ill sailor completes 2,000 mile voyage",Sussex
17:10 30 June,"Council facing growing debt due to SEND services, published at 17:10 30 June",Council facing growing debt due to SEND services,Berkshire
06:31 30 June,"Activity programme to 'enable new experiences', published at 06:31 30 June",Activity programme to 'enable new experiences',Isle of Man
11:19 29 June,"'No evidence' government care for disabled people - Rosie Jones. Video, 00:01:14, published at 11:19 29 June",'No evidence' government care for disabled people - Rosie Jones,
07:20 29 June,"'Glastonbury helicopters', 'The Wave' and 'scooter raid', published at 07:20 29 June","'Glastonbury helicopters', 'The Wave' and 'scooter raid'",England
06:12 29 June,"Deaf actor is huge talent, says Adrian Scarborough, published at 06:12 29 June","Deaf actor is huge talent, says Adrian Scarborough","Beds, Herts & Bucks"
19:05 28 June,"Levelling the field for disabilities at Glastonbury, published at 19:05 28 June",Levelling the field for disabilities at Glastonbury,Somerset
15:54 28 June,"Families encouraged to join disability register, published at 15:54 28 June",Families encouraged to join disability register,Coventry & Warwickshire
17:51 27 June,"Welfare reform U-turn not enough, says MP, published at 17:51 27 June","Welfare reform U-turn not enough, says MP",Wales
07:45 27 June,"Boy's long wait for disabled bathroom finally over, published at 07:45 27 June",Boy's long wait for disabled bathroom finally over,Lincolnshire
06:16 27 June,"Inclusive bike charity expands to cope with demand, published at 06:16 27 June",Inclusive bike charity expands to cope with demand,Gloucestershire
05:43 27 June,"'Canal trust leads the way for disability access', published at 05:43 27 June",'Canal trust leads the way for disability access',Shropshire
18:35 26 June,"Blind Glastonbury volunteer says others should 'try it', published at 18:35 26 June",Blind Glastonbury volunteer says others should 'try it',England
17:33 26 June,"Boy without SEN school place 'lonely and in limbo', published at 17:33 26 June",Boy without SEN school place 'lonely and in limbo',Northern Ireland
16:36 26 June,"Minister quizzed on welfare reforms during visit, published at 16:36 26 June",Minister quizzed on welfare reforms during visit,Gloucestershire
11:43 26 June,"Work begins on garden for adults with disabilities, published at 11:43 26 June",Work begins on garden for adults with disabilities,Jersey
07:45 26 June,"'My stoma won't stop me enjoying Glastonbury', published at 07:45 26 June",'My stoma won't stop me enjoying Glastonbury',Somerset
06:31 26 June,"'I don't want to live on benefits, I want to work', published at 06:31 26 June","'I don't want to live on benefits, I want to work'",Disability
06:27 26 June,"Disabled woman denied wheelchair over 'criteria', published at 06:27 26 June",Disabled woman denied wheelchair over 'criteria',Wiltshire
06:07 26 June,"Students fundraising for their own therapy dog, published at 06:07 26 June",Students fundraising for their own therapy dog,
10:08 25 June,"Children's charity needs £80,000 to keep going, published at 10:08 25 June","Children's charity needs £80,000 to keep going",Berkshire
06:05 25 June,"'Foster' homes needed for adults with care needs, published at 06:05 25 June",'Foster' homes needed for adults with care needs,Kent
18:48 24 June,"Terminally ill sailor in tears during storm winds, published at 18:48 24 June",Terminally ill sailor in tears during storm winds,Sussex
17:01 24 June,"Autistic woman died after choking care plan ignored, published at 17:01 24 June",Autistic woman died after choking care plan ignored,Somerset
14:04 24 June,"School table cricket team makes national finals. Video, 00:01:19, published at 14:04 24 June",School table cricket team makes national finals,Cumbria
11:55 24 June,"Paralympic great honoured in village of birth, published at 11:55 24 June",Paralympic great honoured in village of birth,Northern Ireland
06:47 24 June,"Vogue model 'beyond excited' about acting debut, published at 06:47 24 June",Vogue model 'beyond excited' about acting debut,Essex
06:45 24 June,"'Tourette's no longer defines me - I can put my music out to the world', published at 06:45 24 June",'Tourette's no longer defines me - I can put my music out to the world',"Beds, Herts & Bucks"
06:30 24 June,"Olympic legend praises school for inspiring pupils, published at 06:30 24 June",Olympic legend praises school for inspiring pupils,Guernsey
06:28 24 June,"Plans withdrawn for new child care home, published at 06:28 24 June",Plans withdrawn for new child care home,Peterborough
06:26 24 June,"Home for autistic adults to close after 50 years, published at 06:26 24 June",Home for autistic adults to close after 50 years,Somerset
01:43 24 June,"'Giving soldiers faulty ear plugs was a betrayal', published at 01:43 24 June",'Giving soldiers faulty ear plugs was a betrayal',Birmingham & Black Country
14:49 23 June,"Action taken over misuse of club's disabled parking, published at 14:49 23 June",Action taken over misuse of club's disabled parking,Lincolnshire
14:19 23 June,"'My mission to get myself weighed ended on a set of scrapyard scales', published at 14:19 23 June",'My mission to get myself weighed ended on a set of scrapyard scales',Disability
14:07 23 June,"Youngest MBE winner takes on 'poo plod', published at 14:07 23 June",Youngest MBE winner takes on 'poo plod',Dorset
06:18 23 June,"'I never thought with a disability I'd play full contact rugby' , published at 06:18 23 June",'I never thought with a disability I'd play full contact rugby',Northern Ireland
06:14 23 June,"Disabled people frustrated by driving lessons wait, published at 06:14 23 June",Disabled people frustrated by driving lessons wait,England
06:06 23 June,"Powerchair footballers competing on world stage, published at 06:06 23 June",Powerchair footballers competing on world stage,Birmingham & Black Country
13:01 22 June,"New harness helps boy with Down's syndrome to skateboard, published at 13:01 22 June",New harness helps boy with Down's syndrome to skateboard,Wales
09:59 22 June,"Boy, 11, selected for England deaf football team , published at 09:59 22 June","Boy, 11, selected for England deaf football team",Kent
06:25 22 June,"Paralympic medallist recognised with blue plaque, published at 06:25 22 June",Paralympic medallist recognised with blue plaque,England
00:00 22 June,"'Sense of achievement in the air' for adults with a learning disability , published at 00:00 22 June",'Sense of achievement in the air' for adults with a learning disability,Northern Ireland
09:07 21 June,"Special school rated outstanding by Ofsted, published at 09:07 21 June",Special school rated outstanding by Ofsted,Surrey
07:17 21 June,"Films aimed at helping deaf people with diabetes, published at 07:17 21 June",Films aimed at helping deaf people with diabetes,Cornwall
17:58 20 June,"Bus stations join guidance app for blind people, published at 17:58 20 June",Bus stations join guidance app for blind people,Surrey
14:40 20 June,"Events held for people with learning disabilities, published at 14:40 20 June",Events held for people with learning disabilities,Jersey
06:46 20 June,"SEN classroom assistants embrace school opportunity. Video, 00:01:22, published at 06:46 20 June",SEN classroom assistants embrace school opportunity,Northern Ireland
06:23 20 June,"'Videos show how amazing my blind parents are', published at 06:23 20 June",'Videos show how amazing my blind parents are',Hull & East Yorkshire
06:21 20 June,"Council tells MPs SEND budget is 'unsustainable' , published at 06:21 20 June",Council tells MPs SEND budget is 'unsustainable',Oxfordshire
20:20 19 June,"Bereaved parents praise 'milestone' NHS guidance, published at 20:20 19 June",Bereaved parents praise 'milestone' NHS guidance,Bristol
08:44 19 June,"Warning 200 jobs will have been lost in schools, published at 08:44 19 June",Warning 200 jobs will have been lost in schools,Norfolk
06:17 19 June,"'We need more driving instructors for disabled people', published at 06:17 19 June",'We need more driving instructors for disabled people',Gloucestershire
06:17 19 June,"'I want to inspire other amputees to chase dreams', published at 06:17 19 June",'I want to inspire other amputees to chase dreams',Birmingham & Black Country
18:17 18 June,"City slowest in country for SEND assessments, published at 18:17 18 June",City slowest in country for SEND assessments,Bristol
16:05 18 June,"Boy who uses a ventilator in charity bike race, published at 16:05 18 June",Boy who uses a ventilator in charity bike race,Hull & East Yorkshire
12:28 18 June,"Family's mission to help child, 9, with rare disease, published at 12:28 18 June","Family's mission to help child, 9, with rare disease",Wiltshire
15:54 17 June,"Why Rosie Jones' new TV show has mostly disabled actors. Video, 00:01:24, published at 15:54 17 June",Why Rosie Jones' new TV show has mostly disabled actors,
13:04 17 June,"Blind man 'humiliated' after Father's Day pub row, published at 13:04 17 June",Blind man 'humiliated' after Father's Day pub row,Stoke & Staffordshire
07:03 17 June,"School pioneers project to help SEND pupils, published at 07:03 17 June",School pioneers project to help SEND pupils,South Yorkshire
06:30 17 June,"Guinea pigs helping school children feel calm, published at 06:30 17 June",Guinea pigs helping school children feel calm,Hereford & Worcester
06:09 17 June,"Castle concert accessibility changes praised, published at 06:09 17 June",Castle concert accessibility changes praised,Lincolnshire
06:05 17 June,"'Genius' son left without education for two years, published at 06:05 17 June",'Genius' son left without education for two years,Oxfordshire
17:08 16 June,"SEN reform plans 'don't go far enough', published at 17:08 16 June",SEN reform plans 'don't go far enough',Northern Ireland
15:52 16 June,"Special school to be built after 'year of torment', published at 15:52 16 June",Special school to be built after 'year of torment',Wales
13:29 16 June,"Terminally ill sailor 'smashes' fundraising target, published at 13:29 16 June",Terminally ill sailor 'smashes' fundraising target,Sussex
06:43 16 June,"Sight loss charity to open special therapeutic space, published at 06:43 16 June",Sight loss charity to open special therapeutic space,Isle of Man
06:29 16 June,"Mother plans to run around Cornwall in six days , published at 06:29 16 June",Mother plans to run around Cornwall in six days,Cornwall
06:14 16 June,"Man's rugby success after bike crash brain injury, published at 06:14 16 June",Man's rugby success after bike crash brain injury,Wales
06:10 16 June,"Performing arts centre for autistic students opens, published at 06:10 16 June",Performing arts centre for autistic students opens,Berkshire
06:06 16 June,"Phased plan to build respite centre announced, published at 06:06 16 June",Phased plan to build respite centre announced,Oxfordshire
06:04 16 June,"'My child fell through every care loophole', published at 06:04 16 June",'My child fell through every care loophole',Tyne
07:27 15 June,"'I do press ups every day so I can care for my son', published at 07:27 15 June",'I do press ups every day so I can care for my son',Wales
07:39 14 June,"Cycling charity promotes work with 160 mile ride, published at 07:39 14 June",Cycling charity promotes work with 160 mile ride,England
07:23 14 June,"Learning disability services 'in need of overhaul', published at 07:23 14 June",Learning disability services 'in need of overhaul',Isle of Man
07:12 14 June,"Adaptive cycling festival returns for second year, published at 07:12 14 June",Adaptive cycling festival returns for second year,Cornwall
06:20 14 June,"'If I'm frustrated by school, farm calms me down', published at 06:20 14 June","'If I'm frustrated by school, farm calms me down'","Beds, Herts & Bucks"
22:36 13 June,"Theatre director among those honoured by King, published at 22:36 13 June",Theatre director among those honoured by King,Hull & East Yorkshire
15:38 13 June,"Man says bus cut will mean he cannot get to job, published at 15:38 13 June",Man says bus cut will mean he cannot get to job,Guernsey
06:37 13 June,"Council attempts to resolve special needs funding, published at 06:37 13 June",Council attempts to resolve special needs funding,Wiltshire
06:13 13 June,"Charity to end disability bus service over funding, published at 06:13 13 June",Charity to end disability bus service over funding,Guernsey
22:00 12 June,"Record 1 in 5 pupils in England getting special education needs support, published at 22:00 12 June",Record 1 in 5 pupils in England getting special education needs support,Disability
16:31 12 June,"Teen with learning disabilities made to pay college costs, published at 16:31 12 June",Teen with learning disabilities made to pay college costs,Glasgow & West Scotland
10:32 12 June,"'Deaf athletes like me have to fund ourselves', published at 10:32 12 June",'Deaf athletes like me have to fund ourselves',Surrey
06:14 12 June,"'Showing hidden disability through my son's eyes', published at 06:14 12 June",'Showing hidden disability through my son's eyes',England
17:23 11 June,"Campaigner who 'changed countless lives' dies aged 19, published at 17:23 11 June",Campaigner who 'changed countless lives' dies aged 19,Wiltshire
09:44 11 June,"Visually impaired voters to trial ballot paper aid, published at 09:44 11 June",Visually impaired voters to trial ballot paper aid,Highlands & Islands
07:56 11 June,"'Loss of support' for disabled university students, published at 07:56 11 June",'Loss of support' for disabled university students,Derbyshire
07:02 11 June,"Theatre company pledges to be a 'home for all', published at 07:02 11 June",Theatre company pledges to be a 'home for all',Bristol
06:14 11 June,"Circus is a 'high flying rebellion against ageism', published at 06:14 11 June",Circus is a 'high flying rebellion against ageism',England
06:04 11 June,"Adults with sight loss invited to open water swim, published at 06:04 11 June",Adults with sight loss invited to open water swim,Sussex
21:41 10 June,"Urgent search for teenager's missing support dog , published at 21:41 10 June",Urgent search for teenager's missing support dog,Highlands & Islands
06:39 10 June,"Cafe run by adults with learning disability praised, published at 06:39 10 June",Cafe run by adults with learning disability praised,Northamptonshire
06:27 10 June,"Stitch the skunk brings joy at children's hospice, published at 06:27 10 June",Stitch the skunk brings joy at children's hospice,England
17:31 9 June,"New charity seeks funds to help vulnerable students, published at 17:31 9 June",New charity seeks funds to help vulnerable students,Wiltshire
12:19 9 June,"School earns top ratings in Ofsted report, published at 12:19 9 June",School earns top ratings in Ofsted report,Guernsey
06:32 9 June,"Rent rise puts future of SEN play group in doubt, published at 06:32 9 June",Rent rise puts future of SEN play group in doubt,Norfolk
06:23 9 June,"Families feel pressure as care subsidy is scrapped, published at 06:23 9 June",Families feel pressure as care subsidy is scrapped,Bradford
06:14 9 June,"Guide dog owner 'infuriated' by taxi ride refusals, published at 06:14 9 June",Guide dog owner 'infuriated' by taxi ride refusals,"Beds, Herts & Bucks"
06:08 9 June,"Blue Badge renewal dubbed 'bureaucracy gone mad', published at 06:08 9 June",Blue Badge renewal dubbed 'bureaucracy gone mad',"Beds, Herts & Bucks"
06:07 9 June,"More basic awareness of deafness needed, mum says, published at 06:07 9 June","More basic awareness of deafness needed, mum says",Sussex
08:04 8 June,"Disability plan accused of lacking measurable targets , published at 08:04 8 June",Disability plan accused of lacking measurable targets,Wales
13:16 7 June,"Volunteers 'devastated' at garden centre closure , published at 13:16 7 June",Volunteers 'devastated' at garden centre closure,London
07:04 7 June,"Guide dog puppies in training attend Royal Ascot, published at 07:04 7 June",Guide dog puppies in training attend Royal Ascot,Berkshire
06:45 7 June,"Paralysed man spends year writing letter of thanks, published at 06:45 7 June",Paralysed man spends year writing letter of thanks,Northern Ireland
13:39 6 June,"Hope for special school after extra £1.5m of funding, published at 13:39 6 June",Hope for special school after extra £1.5m of funding,Somerset
12:10 6 June,"School to move despite £1.6m spend on improvements, published at 12:10 6 June",School to move despite £1.6m spend on improvements,Oxfordshire
12:05 6 June,"Sports clubs told to make way for climbing wall, published at 12:05 6 June",Sports clubs told to make way for climbing wall,Essex
06:21 6 June,"Reform to 'dumb down' diversity and net zero plans, published at 06:21 6 June",Reform to 'dumb down' diversity and net zero plans,Coventry & Warwickshire
06:17 6 June,"TT sign language service makes event 'inclusive', published at 06:17 6 June",TT sign language service makes event 'inclusive',Isle of Man
13:47 5 June,"'With the boat and the stars, I'm unstoppable', published at 13:47 5 June","'With the boat and the stars, I'm unstoppable'",Sussex
06:47 5 June,"Views sought on specialist school expansion plan, published at 06:47 5 June",Views sought on specialist school expansion plan,Wolverhampton
06:00 4 June,"Hospital 'deeply sorry' after 12-year-old's death, published at 06:00 4 June",Hospital 'deeply sorry' after 12-year-old's death,Surrey
18:42 3 June,"Row after only welfare cuts event in Wales cancelled, published at 18:42 3 June",Row after only welfare cuts event in Wales cancelled,Wales
15:18 3 June,"Plans for 'abhorrent' visitor facilities withdrawn, published at 15:18 3 June",Plans for 'abhorrent' visitor facilities withdrawn,Norfolk
06:15 3 June,"How investing in the community saved a rugby club, published at 06:15 3 June",How investing in the community saved a rugby club,Bristol
06:09 3 June,"Boy, 8, gets bespoke Lego prosthetic arm, published at 06:09 3 June","Boy, 8, gets bespoke Lego prosthetic arm",Hampshire & Isle of Wight
15:51 2 June,"Terminally ill sailor sets off solo around the UK, published at 15:51 2 June",Terminally ill sailor sets off solo around the UK,Sussex
07:05 2 June,"'There are so many hidden costs to raising a disabled child', published at 07:05 2 June",'There are so many hidden costs to raising a disabled child',North Yorkshire
06:46 2 June,"Testing a smart cane for blind people. Video, 00:01:16, published at 06:46 2 June",Testing a smart cane for blind people,
07:34 1 June,"'I'm autistic and my orchestra helps me be myself', published at 07:34 1 June",'I'm autistic and my orchestra helps me be myself',Birmingham & Black Country
07:06 1 June,"'How muscular dystrophy changed life on our farm', published at 07:06 1 June",'How muscular dystrophy changed life on our farm',Disability
07:36 31 May,"Man born with no hands says golf 'saved his life', published at 07:36 31 May",Man born with no hands says golf 'saved his life',Jersey
07:22 31 May,"Cash grants to help children with special needs, published at 07:22 31 May",Cash grants to help children with special needs,Hereford & Worcester
19:57 30 May,"Surfathon raises money for charity project, published at 19:57 30 May",Surfathon raises money for charity project,Devon
11:04 30 May,"Learning disability care reform needed - review, published at 11:04 30 May",Learning disability care reform needed - review,Isle of Man
06:40 30 May,"Assessing children 'continues to be a challenge', published at 06:40 30 May",Assessing children 'continues to be a challenge',Essex
06:15 30 May,"More funding 'unlikely' for mental health trust, published at 06:15 30 May",More funding 'unlikely' for mental health trust,England
17:39 29 May,"SEND assessment delay 'prolonged injustice' for mum, published at 17:39 29 May",SEND assessment delay 'prolonged injustice' for mum,Berkshire
